row_id_original,tanggal,tanggal_validated,periode_data,periode_data_validated,stasiun,pm10,pm25,so2,co,o3,no2,max_original,max_recomputed,critical_original,critical_standardized,critical_recomputed,tahun,bulan,nama_bulan,hari_dalam_minggu,flag_period_mismatch_unresolved,flag_critical_invalid,flag_critical_mismatch_recomputed,flag_max_mismatch_recomputed,flag_duplicate_key_tanggal_stasiun,jumlah_flag_kualitas,status_validasi_ringkas,categori
0,2010-01-01,2010-01-01,201001.0,201001,DKI1 Bunderan HI,60.0,,4.0,73.0,27.0,14.0,73.0,73.0,CO,CO,CO,2010,1,January,Friday,False,False,False,False,False,0,Tidak ada flag,SEDANG
1,2010-01-02,2010-01-02,201001.0,201001,DKI1 Bunderan HI,32.0,,2.0,16.0,33.0,9.0,33.0,33.0,O3,O3,O3,2010,1,January,Saturday,False,False,False,False,False,0,Tidak ada flag,BAIK
2,2010-01-03,2010-01-03,201001.0,201001,DKI1 Bunderan HI,27.0,,2.0,19.0,20.0,9.0,27.0,27.0,PM10,PM10,PM10,2010,1,January,Sunday,False,False,False,False,False,0,Tidak ada flag,BAIK
3,2010-01-04,2010-01-04,201001.0,201001,DKI1 Bunderan HI,22.0,,2.0,16.0,15.0,6.0,22.0,22.0,PM10,PM10,PM10,2010,1,January,Monday,False,False,False,False,False,0,Tidak ada flag,BAIK
4,2010-01-05,2010-01-05,201001.0,201001,DKI1 Bunderan HI,25.0,,2.0,17.0,15.0,8.0,25.0,25.0,PM10,PM10,PM10,2010,1,January,Tuesday,False,False,False,False,False,0,Tidak ada flag,BAIK
5,2010-01-06,2010-01-06,201001.0,201001,DKI1 Bunderan HI,30.0,,3.0,22.0,19.0,11.0,30.0,30.0,PM10,PM10,PM10,2010,1,January,Wednesday,False,False,False,False,False,0,Tidak ada flag,BAIK
6,2010-01-07,2010-01-07,201001.0,201001,DKI1 Bunderan HI,41.0,,4.0,24.0,27.0,13.0,41.0,41.0,PM10,PM10,PM10,2010,1,January,Thursday,False,False,False,False,False,0,Tidak ada flag,BAIK
7,2010-01-08,2010-01-08,201001.0,201001,DKI1 Bunderan HI,64.0,,8.0,51.0,19.0,15.0,64.0,64.0,PM10,PM10,PM10,2010,1,January,Friday,False,False,False,False,False,0,Tidak ada flag,SEDANG
8,2010-01-09,2010-01-09,201001.0,201001,DKI1 Bunderan HI,55.0,,5.0,39.0,23.0,16.0,55.0,55.0,PM10,PM10,PM10,2010,1,January,Saturday,False,False,False,False,False,0,Tidak ada flag,SEDANG
9,2010-01-10,2010-01-10,201001.0,201001,DKI1 Bunderan HI,34.0,,5.0,23.0,26.0,12.0,34.0,34.0,PM10,PM10,PM10,2010,1,January,Sunday,False,False,False,False,False,0,Tidak ada flag,BAIK
10,2010-01-11,2010-01-11,201001.0,201001,DKI1 Bunderan HI,55.0,,10.0,32.0,23.0,16.0,55.0,55.0,PM10,PM10,PM10,2010,1,January,Monday,False,False,False,False,False,0,Tidak ada flag,SEDANG
